Country or Area,Year,Value
Australia,2012,397830.6047
Australia,2011,398161.3872
Australia,2010,399364.8191
Australia,2009,398668.7713
Australia,2008,399084.1509
Australia,2007,393918.3205
Australia,2006,385969.3355
Australia,2005,380440.4543
Australia,2004,376669.8639
Australia,2003,364605.1036
Australia,2002,358296.2618
Australia,2001,354266.4988
Australia,2000,346620.8507
Australia,1999,340605.4425
Australia,1998,331123.2263
Australia,1997,317772.2529
Australia,1996,309524.2626
Australia,1995,302576.4261
Australia,1994,291375.934
Australia,1993,286804.3815
Australia,1992,282530.1556
Australia,1991,277590.3048
Australia,1990,276137.5504
Austria,2012,67733.46873
Austria,2011,70353.69785
Austria,2010,72366.11548
Austria,2009,67567.75633
Austria,2008,73804.4841
Austria,2007,73980.07174
Austria,2006,76633.08254
Austria,2005,79392.93686
Austria,2004,78229.22315
Austria,2003,77800.99197
Austria,2002,71747.62552
Austria,2001,70029.31183
Austria,2000,65992.85904
Austria,1999,65343.17335
Austria,1998,66743.9841
Austria,1997,67162.48996
Austria,1996,67365.29505
Austria,1995,63924.04007
Austria,1994,60877.08511
Austria,1993,60482.1679
Austria,1992,60100.20593
Austria,1991,65602.05162
Austria,1990,62017.74583
Belarus,2012,57490.68938
Belarus,2011,55380.85395
Belarus,2010,58297.96494
Belarus,2009,56808.56531
Belarus,2008,60328.70211
Belarus,2007,58279.99684
Belarus,2006,59128.46177
Belarus,2005,56669.76786
Belarus,2004,56258.49785
Belarus,2003,52891.32387
Belarus,2002,52528.80231
Belarus,2001,52347.03092
Belarus,2000,53319.27583
Belarus,1999,55404.10805
Belarus,1998,58064.84995
Belarus,1997,59867.95087
Belarus,1996,58553.79294
Belarus,1995,57599.77278
Belarus,1994,64506.22654
Belarus,1993,77204.20693
Belarus,1992,90060.21181
Belarus,1991,97475.36169
Belarus,1990,103806.8471
Belgium,2012,100659.3803
Belgium,2011,104270.664
Belgium,2010,113429.2061
Belgium,2009,106827.2609
Belgium,2008,119452.5491
Belgium,2007,117069.4409
Belgium,2006,121537.0957
Belgium,2005,124343.5679
Belgium,2004,128071.9161
Belgium,2003,127275.9324
Belgium,2002,125459.3913
Belgium,2001,125136.4364
Belgium,2000,125151.6958
Belgium,1999,123447.5594
Belgium,1998,128966.3949
Belgium,1997,122723.0959
Belgium,1996,128354.0905
Belgium,1995,124323.6244
Belgium,1994,123400.9572
Belgium,1993,118912.1274
Belgium,1992,119908.9868
Belgium,1991,121446.5558
Belgium,1990,118988.8217
Bulgaria,2012,48363.94947
Bulgaria,2011,53197.35176
Bulgaria,2010,47721.36822
Bulgaria,2009,45416.8088
Bulgaria,2008,53707.76783
Bulgaria,2007,55465.83857
Bulgaria,2006,51688.93857
Bulgaria,2005,50304.44905
Bulgaria,2004,49432.95544
Bulgaria,2003,50504.52991
Bulgaria,2002,46260.32967
Bulgaria,2001,49255.77026
Bulgaria,2000,45522.7648
Bulgaria,1999,46157.41795
Bulgaria,1998,52635.69388
Bulgaria,1997,55625.91054
Bulgaria,1996,58395.928
Bulgaria,1995,58043.07817
Bulgaria,1994,56291.07672
Bulgaria,1993,58446.96093
Bulgaria,1992,57901.80599
Bulgaria,1991,61489.10225
Bulgaria,1990,80231.64716
Canada,2012,550546.5937
Canada,2011,557289.6908
Canada,2010,554408.2391
Canada,2009,542521.1917
Canada,2008,576574.7423
Canada,2007,594659.043
Canada,2006,571751.4822
Canada,2005,576740.8875
Canada,2004,583133.0192
Canada,2003,584115.8077
Canada,2002,566954.2415
Canada,2001,561253.21
Canada,2000,567738.2515
Canada,1999,545793.4129
Canada,1998,530103.8555
Canada,1997,521281.6892
Canada,1996,507307.4062
Canada,1995,490945.8249
Canada,1994,478228.7848
Canada,1993,463885.9023
Canada,1992,464396.3388
Canada,1991,450126.5982
Canada,1990,459037.9801
Croatia,2012,19233.20131
Croatia,2011,20917.99738
Croatia,2010,21330.40542
Croatia,2009,21991.10081
Croatia,2008,23770.695
Croatia,2007,25018.34483
Croatia,2006,23733.87582
Croatia,2005,23501.3758
Croatia,2004,23159.4151
Croatia,2003,23534.13855
Croatia,2002,22110.85973
Croatia,2001,21040.76015
Croatia,2000,20099.50916
Croatia,1999,20545.30428
Croatia,1998,19634.03205
Croatia,1997,18938.62657
Croatia,1996,17845.36797
Croatia,1995,17213.75799
Croatia,1994,16498.32557
Croatia,1993,17170.50987
Croatia,1992,16714.83181
Croatia,1991,17361.43277
Croatia,1990,23339.56366
Cyprus,2012,7082.826233
Cyprus,2011,7566.185962
Cyprus,2010,7831.8194
Cyprus,2009,8203.317844
Cyprus,2008,8474.103487
Cyprus,2007,8310.857445
Cyprus,2006,8036.210831
Cyprus,2005,7857.892993
Cyprus,2004,7713.048041
Cyprus,2003,7483.988573
Cyprus,2002,7102.885619
Cyprus,2001,6906.86412
Cyprus,2000,7037.972461
Cyprus,1999,6786.680974
Cyprus,1998,6516.786253
Cyprus,1997,6221.585913
Cyprus,1996,6120.637944
