Country or Area,Year,Value
Australia,2012,0.411643503
Australia,2011,0.427343851
Australia,2010,0.438586169
Australia,2009,0.446413429
Australia,2008,0.454617677
Australia,2007,0.465346419
Australia,2006,0.473100672
Australia,2005,0.480269855
Australia,2004,0.490804462
Australia,2003,0.494831232
Australia,2002,0.501242493
Australia,2001,0.514750707
Australia,2000,0.513355125
Australia,1999,0.523978368
Australia,1998,0.534882419
Australia,1997,0.536060155
Australia,1996,0.542737073
Australia,1995,0.551496845
Australia,1994,0.551694404
Australia,1993,0.56500301
Australia,1992,0.578933011
Australia,1991,0.571109062
Australia,1990,0.565700266
Austria,2012,0.180538095
Austria,2011,0.18917951
Austria,2010,0.200567572
Austria,2009,0.190789423
Austria,2008,0.200482647
Austria,2007,0.20406899
Austria,2006,0.219042543
Austria,2005,0.234535191
Austria,2004,0.236044521
Austria,2003,0.241104203
Austria,2002,0.224026183
Austria,2001,0.222281583
Austria,2000,0.212298314
Austria,1999,0.217288945
Austria,1998,0.229915011
Austria,1997,0.239592874
Austria,1996,0.245615376
Austria,1995,0.238658189
Austria,1994,0.233346348
Austria,1993,0.237401495
Austria,1992,0.237144993
Austria,1991,0.264273502
Austria,1990,0.258432732
Belarus,2012,0.359300845
Belarus,2011,0.352107563
Belarus,2010,0.391202357
Belarus,2009,0.410716367
Belarus,2008,0.437038696
Belarus,2007,0.465261401
Belarus,2006,0.512629873
Belarus,2005,0.540444931
Belarus,2004,0.586955895
Belarus,2003,0.615008113
Belarus,2002,0.65381211
Belarus,2001,0.684422071
Belarus,2000,0.730075597
Belarus,1999,0.802622306
Belarus,1998,0.869767358
Belarus,1997,0.972105661
Belarus,1996,1.059154467
Belarus,1995,1.071070738
Belarus,1994,1.074748955
Belarus,1993,1.135813598
Belarus,1992,1.224252594
Belarus,1991,1.197847014
Belarus,1990,1.260345004
Belgium,2012,0.222030751
Belgium,2011,0.230213939
Belgium,2010,0.254537408
Belgium,2009,0.245718163
Belgium,2008,0.267563352
Belgium,2007,0.264725205
Belgium,2006,0.283073511
Belgium,2005,0.29722784
Belgium,2004,0.311938124
Belgium,2003,0.320646271
Belgium,2002,0.318882569
Belgium,2001,0.323021947
Belgium,2000,0.326047299
Belgium,1999,0.333025957
Belgium,1998,0.360843263
Belgium,1997,0.350262962
Belgium,1996,0.380047405
Belgium,1995,0.373823994
Belgium,1994,0.379898295
Belgium,1993,0.377892394
Belgium,1992,0.37739501
Belgium,1991,0.388084958
Belgium,1990,0.387201139
Bulgaria,2012,0.428668869
Bulgaria,2011,0.473829952
Bulgaria,2010,0.433479852
Bulgaria,2009,0.41524977
Bulgaria,2008,0.466443369
Bulgaria,2007,0.509433018
Bulgaria,2006,0.507535951
Bulgaria,2005,0.525901577
Bulgaria,2004,0.547567042
Bulgaria,2003,0.596134294
Bulgaria,2002,0.575289706
Bulgaria,2001,0.639983958
Bulgaria,2000,0.613950332
Bulgaria,1999,0.660098936
Bulgaria,1998,0.710243347
Bulgaria,1997,0.776583667
Bulgaria,1996,0.806378281
Bulgaria,1995,0.814329938
Bulgaria,1994,0.812338134
Bulgaria,1993,0.85878377
Bulgaria,1992,0.838180322
Bulgaria,1991,0.825377412
Bulgaria,1990,0.986008178
Canada,2012,0.381335497
Canada,2011,0.392602961
Canada,2010,0.400447423
Canada,2009,0.405083846
Canada,2008,0.418837412
Canada,2007,0.437051811
Canada,2006,0.42865486
Canada,2005,0.443731996
Canada,2004,0.462841344
Canada,2003,0.478173492
Canada,2002,0.473060426
Canada,2001,0.481424795
Canada,2000,0.495209624
Canada,1999,0.5004578
Canada,1998,0.510361712
Canada,1997,0.522636341
Canada,1996,0.530259367
Canada,1995,0.52177656
Canada,1994,0.522179601
Canada,1993,0.529585456
Canada,1992,0.543991635
Canada,1991,0.531781051
Canada,1990,0.530810716
Croatia,2012,0.223300697
Croatia,2011,0.23754865
Croatia,2010,0.24155047
Croatia,2009,0.244795958
Croatia,2008,0.245068109
Croatia,2007,0.26322658
Croatia,2006,0.262572629
Croatia,2005,0.272441951
Croatia,2004,0.279656725
Croatia,2003,0.295784218
Croatia,2002,0.293341218
Croatia,2001,0.293789618
Croatia,2000,0.290285598
Croatia,1999,0.307903023
Croatia,1998,0.291493532
Croatia,1997,0.286404343
Croatia,1996,0.287805477
Croatia,1995,0.293925539
Croatia,1994,
Croatia,1993,
Croatia,1992,
Croatia,1991,
Croatia,1990,
Cyprus,2012,0.281848725
Cyprus,2011,0.293857186
Cyprus,2010,0.305390611
Cyprus,2009,0.324035059
Cyprus,2008,0.329154068
Cyprus,2007,0.334520405
Cyprus,2006,0.340061143
Cyprus,2005,0.346232728
Cyprus,2004,0.353138636
Cyprus,2003,0.357127211
Cyprus,2002,0.345496787
Cyprus,2001,0.342987717
Cyprus,2000,0.363567661
Cyprus,1999,0.368265825
Cyprus,1998,0.370759883
Cyprus,1997,0.371816412
Cyprus,1996,0.374374016
Cyprus,1995,0.359869021
Cyprus,1994,0.390953987
Cyprus,1993,0.397263821
Cyprus,1992,0.381559054
Cyprus,1991,0.390977078
Cyprus,1990,0.359427077
Czech Republic,2012,0.375702591
Czech Republic,2011,0.38527952
Czech Republic,2010,0.399918953
Czech Republic,2009,0.399775703
Czech Republic,2008,0.404544617
Czech Republic,2007,0.434304785
Czech Republic,2006,0.457312737
Czech Republic,2005,0.48567171
Czech Republic,2004,0.522757782
Czech Republic,2003,0.544444934
Czech Republic,2002,0.548782236
Czech Republic,2001,0.571139144
Czech Republic,2000,0.588647858
Czech Republic,1999,0.565979185
Czech Republic,1998,0.608076533
Czech Republic,1997,0.638420713
Czech Republic,1996,0.651336535
Czech Republic,1995,0.657175931
Czech Republic,1994,0.686395346
Czech Republic,1993,0.756573756
Czech Republic,1992,0.779637405
Czech Republic,1991,0.855376808
Czech Republic,1990,0.807579979
Denmark,2012,0.172238424
Denmark,2011,0.190723519
Denmark,2010,0.213897174
Denmark,2009,0.215287636
Denmark,2008,0.214141156
Denmark,2007,0.226933518
