Country or Area,Year,Value
Australia,2012,543648.4481
Australia,2011,541542.7604
Australia,2010,540210.8723
Australia,2009,541177.6342
Australia,2008,544573.7623
Australia,2007,537930.7775
Australia,2006,529885.1502
Australia,2005,523479.2565
Australia,2004,519037.2348
Australia,2003,506235.3679
Australia,2002,503584.9289
Australia,2001,502347.1261
Australia,2000,489812.9185
Australia,1999,479616.7056
Australia,1998,470580.2231
Australia,1997,455692.6246
Australia,1996,443213.162
Australia,1995,436863.9625
Australia,1994,423232.1278
Australia,1993,422801.0754
Australia,1992,420764.2508
Australia,1991,416477.8943
Australia,1990,414973.697
Austria,2012,80059.36256
Austria,2011,82760.83863
Austria,2010,84807.84812
Austria,2009,80147.97353
Austria,2008,86882.03018
Austria,2007,86967.42314
Austria,2006,89710.79402
Austria,2005,92580.94046
Austria,2004,91569.35105
Austria,2003,91984.59684
Austria,2002,85975.56495
Austria,2001,84274.66185
Austria,2000,80276.96434
Austria,1999,79966.27721
Austria,1998,81653.01641
Austria,1997,82277.80783
Austria,1996,82754.77566
Austria,1995,79743.56152
Austria,1994,76345.44685
Austria,1993,75484.11491
Austria,1992,75410.77398
Austria,1991,82135.091
Austria,1990,78086.35214
Belarus,2012,89283.32586
Belarus,2011,87499.55732
Belarus,2010,89425.89679
Belarus,2009,87859.6432
Belarus,2008,90599.10917
Belarus,2007,87311.66015
Belarus,2006,88044.0015
Belarus,2005,84173.71864
Belarus,2004,82895.89913
Belarus,2003,78561.58144
Belarus,2002,76787.88327
Belarus,2001,77216.62155
Belarus,2000,79165.10127
Belarus,1999,81476.07797
Belarus,1998,84949.76249
Belarus,1997,86730.11899
Belarus,1996,84907.85764
Belarus,1995,82839.72337
Belarus,1994,91729.90956
Belarus,1993,107606.4113
Belarus,1992,121980.9166
Belarus,1991,131723.4322
Belarus,1990,139151.2292
Belgium,2012,116520.3154
Belgium,2011,120145.514
Belgium,2010,130610.9367
Belgium,2009,123208.5199
Belgium,2008,135823.4904
Belgium,2007,133440.6481
Belgium,2006,138342.2275
Belgium,2005,142069.7974
Belgium,2004,146397.9725
Belgium,2003,145316.8198
Belgium,2002,144717.8663
Belgium,2001,145182.99
Belgium,2000,145857.158
Belgium,1999,144947.476
Belgium,1998,151211.5812
Belgium,1997,145679.6943
Belgium,1996,154307.9304
Belgium,1995,150326.8876
Belgium,1994,148485.0411
