Country or Area,Year,Value
Australia,2012,7945.106379
Australia,2011,7512.150105
Australia,2010,6942.606891
Australia,2009,6353.309697
Australia,2008,5810.538264
Australia,2007,5228.388902
Australia,2006,4645.725869
Australia,2005,4259.078425
Australia,2004,3631.988043
Australia,2003,3045.944086
Australia,2002,2489.712525
Australia,2001,1962.599355
Australia,2000,1374.625331
Australia,1999,1168.266453
Australia,1998,846.5457857
Australia,1997,595.2294679
Australia,1996,347.133584
Australia,1995,798.1993775
Australia,1994,812.1840448
Australia,1993,1446.588
Australia,1992,1053.936
Australia,1991,1126.27008
Australia,1990,1126.27008
Austria,2012,1431.451585
Austria,2011,1349.001695
Austria,2010,1285.6477
Austria,2009,1134.263607
Austria,2008,1082.021121
Austria,2007,1042.647839
Austria,2006,1004.147735
Austria,2005,997.3659353
Austria,2004,1020.166462
Austria,2003,952.5147712
Austria,2002,874.7778459
Austria,2001,773.8646494
Austria,2000,646.8162156
Austria,1999,632.4772603
Austria,1998,555.3978755
Austria,1997,460.9931782
Austria,1996,392.5699572
Austria,1995,339.6410101
Austria,1994,260.3292757
Austria,1993,237.0064882
Austria,1992,26.51389389
Austria,1991,24.72932613
Austria,1990,22.55005794
Belarus,2010,13.10488
Belarus,2009,32.19523
Belarus,2008,35.79872
Belarus,2007,30.99902
Belarus,2006,30.048152
Belarus,2005,26.18598
Belarus,2004,23.13739
Belarus,2003,19.24131
Belarus,2002,16.38157
Belarus,2001,12.90184
Belarus,2000,9.34836
Belarus,1999,7.97981
Belarus,1998,7.12822
Belarus,1997,5.34362
Belarus,1996,3.67858
Belarus,1995,2.84229
Belgium,2012,2140.19402
Belgium,2011,2076.45237
Belgium,2010,1999.478895
Belgium,2009,1916.350735
Belgium,2008,1838.933329
Belgium,2007,1743.840744
Belgium,2006,1561.59705
Belgium,2005,1460.430414
Belgium,2004,1475.023082
Belgium,2003,1437.619634
Belgium,2002,1281.363278
Belgium,2001,1061.622356
Belgium,2000,933.3583127
Belgium,1999,804.306006
Belgium,1998,775.81898
Belgium,1997,641.8938327
Belgium,1996,533.9698376
Belgium,1995,448.7138415
Belgium,1994,447.9430615
Belgium,1993,439.5886433
Belgium,1992,439.5886433
