Country or Area,Year,Value
Australia,2012,111709.4988
Australia,2011,110274.7423
Australia,2010,109062.6389
Australia,2009,110806.5324
Australia,2008,113592.76
Australia,2007,112910.9625
Australia,2006,112704.2423
Australia,2005,111456.3782
Australia,2004,111300.2355
Australia,2003,111114.6627
Australia,2002,114604.9823
Australia,2001,117417.0372
Australia,2000,115036.2995
Australia,1999,112610.1531
Australia,1998,113882.5203
Australia,1997,113473.094
Australia,1996,110248.8711
Australia,1995,111247.2463
Australia,1994,109347.4497
Australia,1993,112240.9751
Australia,1992,114397.0991
Australia,1991,115081.462
Australia,1990,115184.3421
Austria,2012,5306.175712
Austria,2011,5393.543082
Austria,2010,5562.122945
Austria,2009,5642.348343
Austria,2008,5743.372139
Austria,2007,5866.548055
Austria,2006,5978.841155
Austria,2005,6099.426938
Austria,2004,6277.006243
Austria,2003,6447.662129
Austria,2002,6447.393383
Austria,2001,6545.00524
Austria,2000,6676.681954
Austria,1999,6823.581189
Austria,1998,6978.462212
Austria,1997,7119.090457
Austria,1996,7429.432302
Austria,1995,7651.931535
Austria,1994,7737.860386
Austria,1993,7972.226788
Austria,1992,8022.120137
Austria,1991,8304.629904
Austria,1990,8332.119843
Belarus,2012,15390.5419
Belarus,2011,15476.3028
Belarus,2010,15221.88951
Belarus,2009,14968.70654
Belarus,2008,14520.67603
Belarus,2007,14176.44179
Belarus,2006,13804.16461
Belarus,2005,13116.4577
Belarus,2004,12777.20219
Belarus,2003,12210.6862
Belarus,2002,11291.90534
Belarus,2001,11367.31151
Belarus,2000,11421.84734
Belarus,1999,11627.46273
Belarus,1998,11879.46414
Belarus,1997,11920.10349
Belarus,1996,11872.42412
Belarus,1995,11704.96059
Belarus,1994,12316.24335
Belarus,1993,13472.94381
Belarus,1992,14143.2594
Belarus,1991,14484.599
Belarus,1990,15217.15745
Belgium,2012,6392.291172
Belgium,2011,6465.842863
Belgium,2010,6661.316786
Belgium,2009,6580.660342
Belgium,2008,6656.803462
Belgium,2007,6786.628882
Belgium,2006,6789.326334
Belgium,2005,6848.211358
Belgium,2004,7025.650497
Belgium,2003,7069.699013
Belgium,2002,7487.202216
Belgium,2001,7848.788714
Belgium,2000,8230.521301
Belgium,1999,8554.742532
Belgium,1998,8695.005812
Belgium,1997,8839.058791
Belgium,1996,9007.776385
Belgium,1995,9256.120398
