Country or Area,Year,Value
Australia,2012,25775.42951
Australia,2011,25201.09362
Australia,2010,24451.85748
Australia,2009,24897.9032
Australia,2008,25546.77744
Australia,2007,25203.46451
Australia,2006,25795.91364
Australia,2005,25596.26495
Australia,2004,25747.88365
Australia,2003,25809.54226
Australia,2002,26500.42861
Australia,2001,26950.01251
Australia,2000,25477.74581
Australia,1999,24050.67006
Australia,1998,23070.08313
Australia,1997,22538.54814
Australia,1996,21600.93803
Australia,1995,20612.63505
Australia,1994,19544.46772
Australia,1993,19188.81185
Australia,1992,18577.36439
Australia,1991,18486.54312
Australia,1990,18354.20979
Austria,2012,5221.634376
Austria,2011,5282.995404
Austria,2010,5178.527519
Austria,2009,5417.429389
Austria,2008,5694.156363
Austria,2007,5510.220565
Austria,2006,5482.904328
Austria,2005,5449.044758
Austria,2004,5410.393563
Austria,2003,6105.654465
Austria,2002,6179.420446
Austria,2001,6176.765578
Austria,2000,6290.904209
Austria,1999,6393.869367
Austria,1998,6418.934763
Austria,1997,6299.941774
Austria,1996,6267.873288
Austria,1995,6606.365153
Austria,1994,6440.995597
Austria,1993,5960.220865
Austria,1992,6134.149826
Austria,1991,6529.380712
Austria,1990,6197.924098
Belarus,2012,16399.82922
Belarus,2011,16640.04079
Belarus,2010,15890.51749
Belarus,2009,16047.75614
Belarus,2008,15711.54232
Belarus,2007,14821.95249
Belarus,2006,15079.45704
Belarus,2005,14359.8253
Belarus,2004,13836.03591
Belarus,2003,13439.63936
Belarus,2002,12950.29885
Belarus,2001,13488.91361
Belarus,2000,14414.22344
Belarus,1999,14436.1555
Belarus,1998,14998.04245
Belarus,1997,14936.48058
Belarus,1996,14477.91515
Belarus,1995,13532.14054
Belarus,1994,14907.43967
Belarus,1993,16929.26059
Belarus,1992,17777.44537
Belarus,1991,19763.47155
Belarus,1990,20127.22463
Belgium,2012,6991.323928
Belgium,2011,7037.18918
Belgium,2010,8328.807858
Belgium,2009,7670.657475
Belgium,2008,7582.214279
Belgium,2007,7577.229358
Belgium,2006,8214.848193
Belgium,2005,9161.957212
Belgium,2004,9423.742358
Belgium,2003,9218.266386
Belgium,2002,10286.31017
Belgium,2001,10767.81786
Belgium,2000,11029.83921
Belgium,1999,11637.85138
Belgium,1998,11794.96732
Belgium,1997,11699.52631
Belgium,1996,12035.8444
Belgium,1995,11720.60183
Belgium,1994,11263.82678
Belgium,1993,10717.20522
Belgium,1992,10441.62545
Belgium,1991,10789.7632
Belgium,1990,10900.18317
Bulgaria,2012,5027.888657
Bulgaria,2011,4798.473739
Bulgaria,2010,4847.77552
Bulgaria,2009,4640.652583
Bulgaria,2008,5129.057287
