Country or Area,Year,Value
Australia,2012,253.6974615
Australia,2011,259.250564
Australia,2010,243.7640112
Australia,2009,307.8866559
Australia,2008,381.1356105
Australia,2007,499.596277
Australia,2006,589.0959238
Australia,2005,1536.232745
Australia,2004,1469.480859
Australia,2003,1443.875055
Australia,2002,1481.291287
Australia,2001,1544.961969
Australia,2000,1103.547038
Australia,1999,976.6469094
Australia,1998,1423.754976
Australia,1997,1053.035913
Australia,1996,1209.294925
Australia,1995,1312.562597
Australia,1994,1855.815281
Australia,1993,2842.786222
Australia,1992,3946.926917
Australia,1991,3953.323881
Australia,1990,3950.125399
Austria,2012,40.45678
Austria,2011,60.07083
Austria,2010,63.93398
Austria,2009,28.6404
Austria,2008,167.12525
Austria,2007,183.719
Austria,2006,136.93945
Austria,2005,125.0427
Austria,2004,125.4909
Austria,2003,102.19542
Austria,2002,83.45778927
Austria,2001,90.02663927
Austria,2000,67.4564
Austria,1999,64.192525
Austria,1998,44.3960941
Austria,1997,96.48288
Austria,1996,65.9187
Austria,1995,68.3865
Austria,1994,58.29723
Austria,1993,52.56522
Austria,1992,439.81281
Austria,1991,1030.484331
Austria,1990,1022.646321
Belgium,2012,220.1239657
Belgium,2011,179.0276586
Belgium,2010,85.56274463
Belgium,2009,115.8711552
Belgium,2008,202.0840391
Belgium,2007,180.690562
Belgium,2006,158.9820766
Belgium,2005,154.4498776
Belgium,2004,307.5513063
Belgium,2003,208.9767784
Belgium,2002,82.40483274
Belgium,2001,222.7898327
Belgium,2000,361.0880481
Belgium,1999,348.1095436
Belgium,1998,669.4237317
Belgium,1997,1211.477608
Belgium,1996,2217.411
Belgium,1995,2335.2373
Belgium,1994,2113.0409
Belgium,1993,1758.6719
Belgium,1992,1829.5238
Belgium,1991,1677.7168
Belgium,1990,1753.3197
Bulgaria,2012,0.043845795
Bulgaria,2011,0.0505323
Bulgaria,2010,0.044289
Bulgaria,2009,0.01638
Canada,2012,1551.634232
Canada,2011,1455.988032
Canada,2010,1607.52257
Canada,2009,2171.965946
Canada,2008,2252.318593
Canada,2007,2193.704785
Canada,2006,2583.904138
Canada,2005,3317.257312
Canada,2004,3046.980147
Canada,2003,3019.025031
Canada,2002,2994.811376
Canada,2001,3500.415516
Canada,2000,4311.083903
Canada,1999,4645.284652
Canada,1998,5601.84211
Canada,1997,5512.709001
Canada,1996,5622.827923
Canada,1995,5489.588823
Canada,1994,5965.332094
Canada,1993,6450.318346
Canada,1992,6556.818459
Canada,1991,6949.976395
Canada,1990,6538.834525
Croatia,2012,0.02471
Croatia,2011,0.0133
Croatia,2010,0.02912
Croatia,2009,0.204435
Croatia,1991,642.443634
Croatia,1990,936.564272
Czech Republic,2012,6.569178058
Czech Republic,2011,9.074923618
Czech Republic,2010,36.65843049
Czech Republic,2009,33.13315016
Czech Republic,2008,28.23423065
Czech Republic,2007,20.57139703
Czech Republic,2006,22.18138462
Czech Republic,2005,9.77313859
Czech Republic,2004,8.459714078
Czech Republic,2003,5.670331302
Czech Republic,2002,11.6907613
Czech Republic,2001,6.485345471
Czech Republic,2000,3.115293553
Czech Republic,1999,0.655676891
Czech Republic,1998,1.211672052
Czech Republic,1997,1.241413499
Czech Republic,1996,0.3799824
Czech Republic,1995,0.007
Denmark,2012,8.53509647
Denmark,2011,11.05670582
Denmark,2010,13.26995319
Denmark,2009,14.17678912
Denmark,2008,12.79120503
Denmark,2007,15.3623142
Denmark,2006,15.68353605
Denmark,2005,13.9039345
Denmark,2004,15.90154558
Denmark,2003,19.34104506
Denmark,2002,22.16771813
Denmark,2001,22.12716042
Denmark,2000,17.89038935
Denmark,1999,12.48154373
Denmark,1998,9.09671525
Denmark,1997,4.1185725
Denmark,1996,1.659525
Denmark,1995,0.50225
Denmark,1994,0.0525
Estonia,2008,0.038493
Estonia,2007,0.06097
Estonia,2006,0.074893
European Union,2012,2884.981702
European Union,2011,3344.958557
European Union,2010,3123.665787
European Union,2009,2659.106154
European Union,2008,4203.564626
European Union,2007,4923.776725
European Union,2006,5351.894975
European Union,2005,6000.644892
European Union,2004,7202.135814
European Union,2003,8543.669809
European Union,2002,10329.12777
European Union,2001,8851.352993
European Union,2000,9837.296488
European Union,1999,11538.21966
European Union,1998,11862.41276
European Union,1997,12527.78315
European Union,1996,13499.56118
European Union,1995,14039.62676
European Union,1994,14312.95593
European Union,1993,14897.39974
European Union,1992,15745.68839
European Union,1991,19417.37814
European Union,1990,21249.98999
Finland,2012,1.8908
Finland,2011,1.3758
Finland,2010,0.7497
Finland,2009,9.3174
Finland,2008,11.231
Finland,2007,8.396
Finland,2006,15.43
Finland,2005,9.875
Finland,2004,11.88967
Finland,2003,14.853
Finland,2002,13.37
Finland,2001,20.06
Finland,2000,22.456
Finland,1999,27.9694
Finland,1998,0.21
Finland,1997,0.18
Finland,1996,0.16
Finland,1995,0.14
Finland,1994,0.12
Finland,1993,0.1
Finland,1992,0.09
Finland,1991,0.08
Finland,1990,0.07
France,2012,399.8270599
France,2011,432.0853976
France,2010,386.9810893
France,2009,370.1612795
France,2008,569.0531836
France,2007,927.63168
France,2006,1169.054299
France,2005,1432.839034
France,2004,2182.426231
France,2003,3220.211727
France,2002,3479.905635
France,2001,2193.461881
France,2000,2488.256476
France,1999,3530.618098
France,1998,2847.256391
France,1997,2426.306033
France,1996,2338.812477
France,1995,2562.128499
France,1994,3527.350874
France,1993,3954.038277
France,1992,4047.893463
France,1991,3973.30747
France,1990,4293.450858
Germany,2012,208.9472125
Germany,2011,241.4413834
Germany,2010,302.291619
Germany,2009,357.825389
Germany,2008,495.5249959
Germany,2007,510.8414629
Germany,2006,579.4188144
Germany,2005,725.7430507
Germany,2004,847.7694378
Germany,2003,879.326126
Germany,2002,821.2003854
Germany,2001,756.2784059
Germany,2000,822.5164484
Germany,1999,1275.094364
Germany,1998,1527.797768
Germany,1997,1415.730453
Germany,1996,1753.172529
Germany,1995,1792.110818
Germany,1994,1649.691474
Germany,1993,1938.773158
Germany,1992,2067.6025
Germany,1991,2280.605
Germany,1990,2629.685
Greece,2012,110.3946562
Greece,2011,78.34430544
Greece,2010,105.5453091
Greece,2009,74.27922513
Greece,2008,93.53441083
Greece,2007,80.63591557
Greece,2006,70.77489254
Greece,2005,74.32127218
Greece,2004,73.42170758
Greece,2003,76.89571798
Greece,2002,73.56522594
Greece,2001,71.16451358
Greece,2000,105.0903369
Greece,1999,90.3165642
Greece,1998,133.0421131
Greece,1997,107.6700747
Greece,1996,46.135992
Greece,1995,53.9699748
Greece,1994,60.372676
Greece,1993,96.9769416
Greece,1992,161.20951
Greece,1991,164.1710448
Greece,1990,163.3716588
Hungary,2012,1.365954691
Hungary,2011,1.706629281
Hungary,2010,1.205850371
Hungary,2009,2.930039395
Hungary,2008,3.797934051
Hungary,2007,3.599393868
Hungary,2006,2.52006295
Hungary,2005,210.2502697
Hungary,2004,201.912107
Hungary,2003,190.6953691
Hungary,2002,203.8767463
Hungary,2001,199.9524047
Hungary,2000,212.157087
Hungary,1999,210.8132071
Hungary,1998,193.5803864
Hungary,1997,161.5184651
Hungary,1996,159.397924
Hungary,1995,166.82386
Hungary,1994,158.934916
Hungary,1993,145.7288
Hungary,1992,134.8214
Hungary,1991,233.719612
Hungary,1990,270.83
Iceland,2012,79.7448072
Iceland,2011,63.21904978
Iceland,2010,145.632406
Iceland,2009,152.7465379
Iceland,2008,348.9981369
Iceland,2007,281.1328033
Iceland,2006,333.2231829
Iceland,2005,26.09562934
Iceland,2004,38.57983432
Iceland,2003,59.78602559
Iceland,2002,72.54256593
Iceland,2001,91.66400776
Iceland,2000,127.1630837
Iceland,1999,173.2108073
Iceland,1998,180.1330277
Iceland,1997,82.35830643
Iceland,1996,25.14871608
Iceland,1995,58.84404096
Iceland,1994,44.56700064
Iceland,1993,74.85870358
Iceland,1992,155.2786135
Iceland,1991,348.3413529
Iceland,1990,419.6312695
Ireland,2012,8.030346667
Ireland,2011,13.1984
Ireland,2010,37.0224
Ireland,2009,65.57002
