Country or Area,Year,Value
Australia,2012,134.1112518
Australia,2011,134.1366201
Australia,2010,145.1859446
Australia,2009,143.230925
Australia,2008,158.4000936
Australia,2007,170.0447376
Australia,2006,180.8369254
Australia,2005,190.8478094
Australia,2004,217.7829442
Australia,2003,216.2402246
Australia,2002,212.2523515
Australia,2001,206.0162805
Australia,2000,199.8500551
Australia,1999,205.5265835
Australia,1998,234.0926523
Australia,1997,260.4641367
Australia,1996,282.6617467
Australia,1995,316.8930173
Australia,1994,296.2770796
Australia,1993,277.5326243
Australia,1992,258.7687055
Australia,1991,239.9904177
Australia,1990,221.1992291
Austria,2012,326.1753721
Austria,2011,321.5297746
Austria,2010,351.5004903
Austria,2009,357.535455
Austria,2008,390.8711991
Austria,2007,384.2159438
Austria,2006,474.8788099
Austria,2005,517.1232593
Austria,2004,507.0707337
Austria,2003,575.5780813
Austria,2002,642.8899618
Austria,2001,659.6879117
Austria,2000,602.2465232
Austria,1999,708.9835181
Austria,1998,911.8413569
Austria,1997,1138.809574
Austria,1996,1233.686363
Austria,1995,1153.197256
Austria,1994,970.8792466
Austria,1993,779.9276494
Austria,1992,687.9713817
Austria,1991,643.8151141
Austria,1990,493.3659864
Belarus,2012,2.2653615
Belarus,2011,2.3597904
Belarus,2010,2.4199706
Belarus,2009,2.4199706
Belarus,2008,2.39
Belarus,2007,2.270022
Belarus,2006,1.869936
Belarus,2005,1.4818
Belarus,2004,1.025788
Belarus,2003,0.69071
Belarus,2002,0.495208
Belarus,2001,0.46366
Belarus,2000,0.4063
Belarus,1999,0.371884
Belarus,1998,0.277718
Belarus,1997,0.240434
Belarus,1996,0.046844
Belarus,1995,0.00717
Belgium,2012,117.0019646
Belgium,2011,116.3379383
Belgium,2010,106.5643284
Belgium,2009,97.71933677
Belgium,2008,90.90616906
Belgium,2007,82.81769206
Belgium,2006,80.37810875
Belgium,2005,101.1806692
Belgium,2004,94.08916571
Belgium,2003,106.3256114
Belgium,2002,121.1945751
Belgium,2001,145.5347716
Belgium,2000,150.6552505
Belgium,1999,154.9071317
Belgium,1998,309.9704729
Belgium,1997,564.6417746
Belgium,1996,2158.838288
Belgium,1995,2242.589768
Belgium,1994,2023.583245
Belgium,1993,1664.796445
Belgium,1992,1732.051045
Belgium,1991,1564.488145
Belgium,1990,1650.719345
Bulgaria,2012,11.96274274
Bulgaria,2011,14.87331092
Bulgaria,2010,13.06932971
Bulgaria,2009,9.974266398
Bulgaria,2008,9.599871413
Bulgaria,2007,9.239529753
Bulgaria,2006,8.89271391
Bulgaria,2005,8.558916179
Bulgaria,2004,8.526080015
Bulgaria,2003,8.058676763
Bulgaria,2002,7.616896751
Bulgaria,2001,7.199335304
Bulgaria,2000,6.804664748
Bulgaria,1999,6.431630197
Bulgaria,1998,6.079045555
Bulgaria,1997,5.745789749
Bulgaria,1996,5.430803166
Bulgaria,1995,5.133084278
Bulgaria,1994,4.851686463
Bulgaria,1993,4.585714993
Bulgaria,1992,4.33432419
Bulgaria,1991,4.096714735
Bulgaria,1990,3.87213113
Canada,2012,448.6267487
Canada,2011,422.2094229
Canada,2010,459.0097045
Canada,2009,393.0584732
Canada,2008,683.9462908
Canada,2007,771.9828264
Canada,2006,1595.896041
Canada,2005,1492.140463
Canada,2004,2456.877365
Canada,2003,2787.456818
Canada,2002,3169.415335
Canada,2001,2688.576447
Canada,2000,3051.863054
Canada,1999,2534.012423
Canada,1998,2478.260987
Canada,1997,1923.000029
Canada,1996,1861.251821
Canada,1995,2395.558826
Canada,1994,2570.179967
Canada,1993,2498.693011
Canada,1992,2691.118611
Canada,1991,3873.672363
Canada,1990,3392.19519
Croatia,2012,9.5997696
Croatia,2011,9.8172596
Croatia,2010,9.3187534
Croatia,2009,8.392724
Croatia,2008,12.554431
Croatia,2007,13.67884235
Croatia,2006,13.63582235
Croatia,2005,13.6553606
Croatia,2004,13.1731781
Croatia,2003,12.86994685
Croatia,2002,12.5912131
Croatia,2001,12.25691185
Croatia,2000,12.1825231
Croatia,1999,12.57119685
Croatia,1998,12.5676716
Croatia,1997,11.9785366
Croatia,1996,12.12773235
Croatia,1995,11.6572011
Croatia,1994,11.15739235
Croatia,1993,11.0387886
Croatia,1992,10.91958735
Croatia,1991,10.83115735
Croatia,1990,10.95424235
Cyprus,2012,0.087392415
Cyprus,2011,0.086998801
Cyprus,2010,0.084758228
Cyprus,2009,0.07301024
Cyprus,2008,0.08569183
Cyprus,2007,0.08050291
Cyprus,2006,0.076542603
Cyprus,2005,0.072457691
Cyprus,2004,0.068268196
Cyprus,2003,0.011691059
Cyprus,2002,0.011581911
Cyprus,2001,0.010971799
Cyprus,2000,0.010575529
Czech Republic,2012,92.10798351
Czech Republic,2011,83.67363879
Czech Republic,2010,71.45313899
Czech Republic,2009,105.4499878
Czech Republic,2008,95.18514756
Czech Republic,2007,88.71173817
Czech Republic,2006,102.0767179
Czech Republic,2005,113.1887375
Czech Republic,2004,121.1494839
Czech Republic,2003,150.9057479
Czech Republic,2002,128.3569883
Czech Republic,2001,111.3512567
Czech Republic,2000,110.8169225
Czech Republic,1999,96.14106539
Czech Republic,1998,85.67117686
Czech Republic,1997,88.69221612
Czech Republic,1996,92.27508709
Czech Republic,1995,82.65472651
Czech Republic,1994,81.79725741
Czech Republic,1993,80.89594114
Czech Republic,1992,79.91272772
Czech Republic,1991,78.84508425
Czech Republic,1990,79.16875
Denmark,2012,118.0487001
Denmark,2011,73.35150264
Denmark,2010,38.05261999
Denmark,2009,36.89701546
Denmark,2008,31.75826936
Denmark,2007,30.48294279
Denmark,2006,36.13618485
Denmark,2005,21.90981647
Denmark,2004,33.3342379
Denmark,2003,31.45447817
Denmark,2002,25.10298519
Denmark,2001,30.4831288
Denmark,2000,59.30805548
Denmark,1999,65.45159172
Denmark,1998,59.61133775
Denmark,1997,73.24170632
Denmark,1996,61.126353
Denmark,1995,107.5271478
Denmark,1994,122.2022475
Denmark,1993,101.3004488
Denmark,1992,89.27367
Denmark,1991,63.5023
Denmark,1990,44.454
Estonia,2012,1.964848636
Estonia,2011,1.853812941
Estonia,2010,1.811040999
Estonia,2009,1.44025702
Estonia,2008,1.34974772
Estonia,2007,0.9659185
